R,,,,,,
Wavelength,S1 2000rpm,S2 2000rpm,S3 2200rpm,S4 1800rpm,S5 1800rpm,S6 2000rpm
615.492,0.2876842,0.3748855,0.1001235,0.5515991,0.2347692,0.180628
616.742,0.2889646,0.3827485,0.096496,0.5560892,0.2421917,0.190946
617.992,0.2904544,0.3878831,0.0923187,0.5610469,0.2479829,0.2004497
619.242,0.2902287,0.3926509,0.0875686,0.5640504,0.2536771,0.2102326
620.493,0.2904823,0.3958851,0.0825189,0.5668031,0.2584352,0.2187928
621.743,0.2902131,0.4041828,0.0780655,0.5721826,0.2647872,0.2289326
622.993,0.2904149,0.4078166,0.075103,0.5747511,0.2691147,0.2370139
624.244,0.2895885,0.4114642,0.0705382,0.5764777,0.2735455,0.2465016
625.494,0.2871761,0.4133208,0.0672158,0.5755799,0.2762804,0.2524428
626.744,0.2868767,0.4200695,0.0630418,0.581124,0.2805516,0.2616809
627.995,0.2844558,0.4214043,0.0602911,0.5787314,0.2829776,0.2673504
629.245,0.2835354,0.424551,0.0572658,0.581038,0.2863826,0.2752087
